time_window_sec,amm_oracle,oracle_count,trade_count,oracle_trade_ratio,pool,pool_oracle_p99,pool_trade_p10
2561217,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2561896,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2561988,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2562782,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2562955,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2562997,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2562999,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2563022,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2563029,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2563095,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2563317,BisonFi,15,0,15.0,BisonFi,10.0,0.0
2563390,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2563469,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2563565,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2563688,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2563699,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2563928,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2564033,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2564087,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2564162,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2564469,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2564548,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2564641,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2564658,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2564677,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2564679,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2564682,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2564724,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2564731,BisonFi,19,0,19.0,BisonFi,10.0,0.0
2564732,BisonFi,17,0,17.0,BisonFi,10.0,0.0
2564734,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2564735,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2564737,BisonFi,14,0,14.0,BisonFi,10.0,0.0
2564738,BisonFi,14,0,14.0,BisonFi,10.0,0.0
2564752,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2564759,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2564761,BisonFi,14,0,14.0,BisonFi,10.0,0.0
2564762,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2564768,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2564770,BisonFi,14,0,14.0,BisonFi,10.0,0.0
2564775,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2564786,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2564803,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2565027,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2565030,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2565033,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2565061,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2565065,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2565096,BisonFi,16,0,16.0,BisonFi,10.0,0.0
2565138,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2565202,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2565374,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2565411,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2565546,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2565636,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2565671,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2565867,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2565963,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2565986,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566046,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2566071,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566086,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566094,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566239,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2566552,BisonFi,10,0,10.0,BisonFi,10.0,0.0
