signer,aggregator_likelihood,unique_pools,pool_list,total_trades,trades_per_hour,mev_score,top_pools
3YsyXbe516r98e3nsygX8B8bpf746qy5JECxvhrecKGb,1.0,1,SolFiV2,3,30.0,0.39999999999999997,SolFiV2(3)
45CMamf7YADcLG1YLca94Wpr3ECkNDfby6aLYQcrHuhJ,1.0,1,TesseraV,2,20.0,0.3,TesseraV(2)
8uuxzqhEFRozpbg4CGLmQUCE2EDBb7s4jk7F1qpcmVks,1.0,1,TesseraV,2,2.006168410593572,0.3,TesseraV(2)
FM7de2hg2p23REwg8TbNT6j3Rh2wgssVnyWC8Regk2RK,1.0,1,HumidiFi,2,20.0,0.3,HumidiFi(2)
6ByGS8NLN56tVVu35nZqmot2CtojJvRfLVLKXzFBbDTf,1.0,1,GoonFi,3,0.30682619242246695,0.39999999999999997,GoonFi(3)
BTf2bcvhDqghuZ9q2x7npHX7SLcaJyc7ZGjxyincPSAq,1.0,1,HumidiFi,2,20.0,0.3,HumidiFi(2)
ETrffMg1gx52JczrEfZ2URC29CK7PWtbTaKMvbnruVGA,1.0,1,HumidiFi,2,0.1869071684272673,0.44999999999999996,HumidiFi(2)
8aidT9QuQMm8ezQwigYrCLWvyWmGdLKwsinFPdzUvzvv,1.0,1,HumidiFi,2,0.3709033722534606,0.3,HumidiFi(2)
E6SgXvndd8yYp6sgwikTKRr8QJDg82HJMAdN7mJeJZ2t,1.0,1,HumidiFi,2,20.0,0.15,HumidiFi(2)
CrnGrJWhgUEbJrjpEVNc8SEyQQ13xbDrzwsWW1z6sSDo,1.0,1,GoonFi,3,3.131435934445128,0.4,GoonFi(3)
4UapSShMEpXWBudGGRRKuC9RDpUrZDvHMC7waKZVsf5R,1.0,1,GoonFi,2,20.0,0.44999999999999996,GoonFi(2)
AkRYenHDsm5QimsVxTKPKrrDjxMAR24NARXTVwi2Aa4p,1.0,1,GoonFi,3,0.5727876237141714,0.5,GoonFi(3)
5YLjGCCdStdL1WfAmeSUU6P2X71Rkc1poxKidcbA3KK5,1.0,1,SolFiV2,2,0.906700745182082,0.3,SolFiV2(2)
8L4HEA6JtAEWRMVmYyvHLVFvjU5YFFw8BcFJWmTR2Sjo,1.0,1,HumidiFi,2,0.28206300253245564,0.3,HumidiFi(2)
F8vgSyaEeQvFP5FVwTqFCZjYWmzBvTq82HhqU97watJy,1.0,1,ZeroFi,3,1.3152861459814171,0.6,ZeroFi(3)
4PdgrR6nh27YevQ2nuw3ic7eHy9W7hLndbtz6YTduzzb,1.0,1,ZeroFi,3,1.2971380570457294,0.43333333333333335,ZeroFi(3)
ErtmKPURg96d4vsZwTfNS3h8H9ejEye6qDXzizWN9Nip,1.0,1,ZeroFi,2,10.228522234250207,0.6499999999999999,ZeroFi(2)
51AvHi7x8X1AxQc4fCCx7gaoVsUUtYWhoXnqsCUyukMp,1.0,1,HumidiFi,3,5.544816751507497,0.3,HumidiFi(3)
95FKq6swJXu4CHRjXwCd2GCCLq8m1AeXYCK5xTxX18Tn,1.0,1,ZeroFi,2,7.5153281380148265,0.4,ZeroFi(2)
GULcquYVyDTJN5DnLDW5uUkG4E1yirjjsgL9E1BrV3Uo,1.0,1,HumidiFi,2,20.0,0.3,HumidiFi(2)
AweNpETpVmMXs3XxJZgv2yJkvPeuiWMmoYR9cGqh644p,1.0,1,HumidiFi,4,1.4862043085062904,0.375,HumidiFi(4)
